CustNo,Branch SDN Name,LATITUDE,LONGITUDE,reverse_geotag_mediatrac,address_sap,checking,revisi_latlong
5810018615,SDN Semarang,-6.989445,110.457998,"5810018615 Jl. Telaga Asmara I, Pedurungan, Kota Semarang, Jawa Tengah 50196, Indonesia 50196",PS. RAYA SLTG B.170 -,not ok,"-7.327942, 110.504643"
5810020255,SDN Semarang,-6.989445,110.457998,"5810020255 Jl. Telaga Asmara I, Pedurungan, Kota Semarang, Jawa Tengah 50196, Indonesia 50196",PS. SURYOKUSUMO LOS DEPAN TLOGOSARI SEMARANG,not ok,"-6.977489, 110.462401"
5810035065,SDN Semarang,-7.144160,110.417708,"5810035065 Jl. Tentara Pelajar, Ungaran Tim., Semarang, Jawa Tengah 50519, Indonesia 50519",JL. TENTARA PELAJAR NO. 21 GEDANGANAK UNGARAN TIMUR KAB. SEMARANG,ok,
5810011811,SDN Semarang,-6.977420,110.440354,"5810011811 Jl. Tirtoyoso II, Semarang Tim., Kota Semarang, Jawa Tengah 50125, Indonesia 50125",JL. TIRTOYOSO II/35 SEMARANG -,ok,
5820000745,SDN Semarang,-6.988494,110.457542,"5820000745 Jl. Tlogosari Raya 2, Pedurungan, Kota Semarang, Jawa Tengah 50196, Indonesia 50196","KO.BINTARO KOMERSIAL CBD SEKTOR VII B.7/ A.7 RT/RW 003/02, PONDOK AREN, TANGERANG",not ok,
5810011800,SDN Semarang,-6.989624,110.458323,"5810011800 Jl. Tlogosari Raya, Pedurungan, Kota Semarang, Jawa Tengah 50196, Indonesia 50196",JL. TLOGOSARI I TEMBALANG,ok,
5810011946,SDN Semarang,-6.989624,110.458323,"5810011946 Jl. Tlogosari Raya, Pedurungan, Kota Semarang, Jawa Tengah 50196, Indonesia 50196",JL. TLOGOSARI RAYA II NO. 51 TLOGOSARI SEMARANG,ok,
5810011978,SDN Semarang,-7.02926,110.493156,"5810011978 Jl. Trembesi, Pedurungan, Kota Semarang, Jawa Tengah 50192, Indonesia 50192",JL. TREMBESI 1357 PLAMONGAN SEMARANG -,ok,
5810012323,SDN Semarang,-6.9892311,110.4181259,"5810012323 Jl. Tri Lomba Juang, Semarang Sel., Kota Semarang, Jawa Tengah 50249, Indonesia 50249",JL. TRI LOMBA JUANG NO. 16 RT.002 RW. 002 SEMARANG TENGAH SEMARANG,ok,
5810011958,SDN Semarang,-6.976241,110.462774,"5810011958 Jl. Truntum Raya, Pedurungan, Kota Semarang, Jawa Tengah 50196, Indonesia 50196",JL. SIDODRAJAT I/7 TLOGOSARI SEMARANG -,ok,
5810011908,SDN Semarang,-6.9802931,110.4599101,"5810011908 Jl. Truntum Raya, Pedurungan, Kota Semarang, Jawa Tengah 50196, Indonesia 50196",JL. TRUMTUM RAYA NO.10 SEMARANG -,ok,
5820000973,SDN Semarang,-6.971714,110.32804,"5820000973 Jl. Tugu Industri II, Tugu, Kota Semarang, Jawa Tengah 50181, Indonesia 50181","JL. ANCOL I/9 - 10, ANCOL PADEMANGAN, JA KARTA UTARA DKI JAKARTA RAYA 14430",ok,
5820000767,SDN Semarang,-6.971015,110.331112,"5820000767 Jl. Tugu Industri III, Tugu, Kota Semarang, Jawa Tengah 50181, Indonesia 50181",SEMARANG -JAWA TENGAH 0,ok,
5810012122,SDN Semarang,-7.056036,110.471504,"5810012122 Jl. Tunggu Raya Meteseh No.3, Tembalang, Kota Semarang, Jawa Tengah 50271, Indonesia 50271",PS. METESEH JL. RAYA METESEH BLOK A-3 NO. 3 METESEH TEMBALANG,ok,
5810022315,SDN Semarang,-7.0997885,110.349135,"5810022315 Jl. Villa Siberi, Boja, Kendal, Jawa Tengah 51381, Indonesia 51381",DESA BANJARREJO VILLA SIBERI BOJA -,ok,
5810011907,SDN Semarang,-7.2971941,110.39492,"5810011907 Jl. Wijaya Kusuma, Banyubiru, Semarang, Jawa Tengah 50664, Indonesia 50664",JL. WIJAYA KUSUMA NO. 76 BANYU BIRU AMBARAWA,ok,
5810032356,SDN Semarang,-6.9981999,110.3477368,"5810032356 Jl. Wismasari Raya, Ngaliyan, Kota Semarang, Jawa Tengah 50181, Indonesia 50181",JL WISMASARI RAYA NO 19 B KEL. NGALIYAN KEC. NGALIYAN,ok,
5810011931,SDN Semarang,-6.998199899999999,110.3477368,"5810011931 Jl. Wismasari Raya, Ngaliyan, Kota Semarang, Jawa Tengah 50181, Indonesia 50181",JL. WISMASRI RAYA 19 B RT. 002 RW. 005 NGALIYAN SEMARANG,ok,
5810017232,SDN Semarang,-6.997578,110.346213,"5810017232 Jl. Wismasari Raya, Ngaliyan, Kota Semarang, Jawa Tengah 50181, Indonesia 50181","KARANGJATI RT 14 RW 39, SINDUADI, MLATI SLEMAN, YOGYAKARTA",not ok,
5810017390,SDN Semarang,-6.997578,110.346213,"5810017390 Jl. Wismasari Raya, Ngaliyan, Kota Semarang, Jawa Tengah 50181, Indonesia 50181",PS. NGALIYAN SEMARANG -,ok,
5810012200,SDN Semarang,-6.982557,110.476975,"5810012200 Jl. Woltermonginsidi, Genuk, Kota Semarang, Jawa Tengah 50115, Indonesia 50115",JL. WOLTER MONGINSIDI NO. 6 SEMARANG -,ok,
5810032358,SDN Semarang,-7.0021914,110.4272168,"5810032358 Jl. Wonodri Sendang Raya, Semarang Sel., Kota Semarang, Jawa Tengah 50242, Indonesia 50242",JL. WONODRI SENDANG NO. 1068 SEMARANG SELATAN SEMARANG,ok,
5810012204,SDN Semarang,-6.979344,110.318014,"5810012204 Jl. Wonosari Utara, Ngaliyan, Kota Semarang, Jawa Tengah 50244, Indonesia 50244",JL. RANDU GARUT SEMARANG -,not ok,
5810011983,SDN Semarang,-6.979344200000001,110.3180138,"5810011983 Jl. Wonosari Utara, Ngaliyan, Kota Semarang, Jawa Tengah 50244, Indonesia 50244",JL. WONOSARI RANDU GARUT RT. 001 RW. 002 TUGU SEMARANG,ok,
5810012198,SDN Semarang,-6.979704,110.423994,"5810012198 Jl. Wotgandul Barat, Semarang Tengah, Kota Semarang, Jawa Tengah 50135, Indonesia 50135",JL. WOT GANDUL SEMARANG -,ok,
5810011822,SDN Semarang,-6.979704,110.423994,"5810011822 Jl. Wotgandul Barat, Semarang Tengah, Kota Semarang, Jawa Tengah 50135, Indonesia 50135",JL. WOT GANDUL SEMARANG -,ok,
5810011825,SDN Semarang,-6.9802733,110.4230034,"5810011825 Jl. Wotgandul Dalam, Semarang Tengah, Kota Semarang, Jawa Tengah 50135, Indonesia 50135",JL. WOTGANDUL DLM 175 SEMARANG -,ok,
5810025126,SDN Semarang,-7.000141,110.392652,"5810025126 lan Srinindito I, Semarang Bar., Kota Semarang, Jawa Tengah 50148, Indonesia 50148",PS. SIMONGAN LOS DEPAN 3 SIMONGAN SEMARANG BARAT,ok,
